Date,Open,High,Low,Close,PE_CAPE
1960-01-04,59.91,59.91,59.91,59.91,18.33828499
1960-01-05,60.389999,60.389999,60.389999,60.389999,18.33828499
1960-01-06,60.130001,60.130001,60.130001,60.130001,18.33828499
1960-01-07,59.689999,59.689999,59.689999,59.689999,18.33828499
1960-01-08,59.5,59.5,59.5,59.5,18.33828499
1960-01-11,58.77,58.77,58.77,58.77,18.33828499
1960-01-12,58.41,58.41,58.41,58.41,18.33828499
1960-01-13,58.080002,58.080002,58.080002,58.080002,18.33828499
1960-01-14,58.400002,58.400002,58.400002,58.400002,18.33828499
1960-01-15,58.380001,58.380001,58.380001,58.380001,18.33828499
1960-01-18,57.889999,57.889999,57.889999,57.889999,18.33828499
1960-01-19,57.27,57.27,57.27,57.27,18.33828499
1960-01-20,57.07,57.07,57.07,57.07,18.33828499
1960-01-21,57.209999,57.209999,57.209999,57.209999,18.33828499
1960-01-22,57.380001,57.380001,57.380001,57.380001,18.33828499
1960-01-25,56.779999,56.779999,56.779999,56.779999,18.33828499
1960-01-26,56.860001,56.860001,56.860001,56.860001,18.33828499
1960-01-27,56.720001,56.720001,56.720001,56.720001,18.33828499
1960-01-28,56.130001,56.130001,56.130001,56.130001,18.33828499
1960-01-29,55.610001,55.610001,55.610001,55.610001,18.33828499
1960-02-01,55.959999,55.959999,55.959999,55.959999,17.54527511
1960-02-02,56.82,56.82,56.82,56.82,17.54527511
1960-02-03,56.32,56.32,56.32,56.32,17.54527511
1960-02-04,56.27,56.27,56.27,56.27,17.54527511
1960-02-05,55.98,55.98,55.98,55.98,17.54527511
1960-02-08,55.32,55.32,55.32,55.32,17.54527511
1960-02-09,55.84,55.84,55.84,55.84,17.54527511
1960-02-10,55.490002,55.490002,55.490002,55.490002,17.54527511
1960-02-11,55.18,55.18,55.18,55.18,17.54527511
1960-02-12,55.459999,55.459999,55.459999,55.459999,17.54527511
1960-02-15,55.169998,55.169998,55.169998,55.169998,17.54527511
1960-02-16,54.73,54.73,54.73,54.73,17.54527511
1960-02-17,55.029999,55.029999,55.029999,55.029999,17.54527511
1960-02-18,55.799999,55.799999,55.799999,55.799999,17.54527511
1960-02-19,56.240002,56.240002,56.240002,56.240002,17.54527511
1960-02-23,55.939999,55.939999,55.939999,55.939999,17.54527511
1960-02-24,55.740002,55.740002,55.740002,55.740002,17.54527511
1960-02-25,55.93,55.93,55.93,55.93,17.54527511
1960-02-26,56.16,56.16,56.16,56.16,17.54527511
1960-02-29,56.119999,56.119999,56.119999,56.119999,17.54527511
1960-03-01,56.009998,56.009998,56.009998,56.009998,17.28602072
1960-03-02,55.619999,55.619999,55.619999,55.619999,17.28602072
1960-03-03,54.779999,54.779999,54.779999,54.779999,17.28602072
1960-03-04,54.57,54.57,54.57,54.57,17.28602072
1960-03-07,54.02,54.02,54.02,54.02,17.28602072
1960-03-08,53.470001,53.470001,53.470001,53.470001,17.28602072
1960-03-09,54.040001,54.040001,54.040001,54.040001,17.28602072
